route_id,origin_RSE_id,destin_RSE_id,lon_origin,lat_origin,lon_destin,lat_destin,movers_2023,movers_2024,avg_speed_2023,avg_speed_2024,avg_time_2023,avg_time_2024,movers_diff,avg_speed_diff,avg_time_diff,direction
0,RSE1515,RSE1517,127.348349,36.325866,127.348261,36.321167,582,1040,21.897975232198284,5.530164471469962,86.57731958762886,342.82307692307694,458,-16.36781076072832,256.24575733544805,옥녀봉삼거리->도안동로입구
1,RSE1517,RSE1515,127.348261,36.321167,127.348349,36.325866,757,1408,28.99904304094011,9.768515681583487,65.40422721268163,194.1605113636364,651,-19.23052735935662,128.75628415095477,도안동로입구->옥녀봉삼거리
2,RSE7359,RSE1515,127.347823,36.33207886,127.348349,36.325866,774,1462,19.69543697052487,8.799906122448823,132.37726098191214,296.27906976744185,688,-10.895530848076048,163.9018087855297,옥녀봉네거리->옥녀봉삼거리
3,RSE1515,RSE7359,127.348349,36.325866,127.347823,36.33207886,963,1762,35.76147697293597,28.403305189115105,73.05503634475598,91.98070374574348,799,-7.358171783820861,18.925667400987507,옥녀봉삼거리->옥녀봉네거리
4,RSE7359,RSE1607,127.347823,36.33207886,127.36794,36.334544,333,730,41.94747646825641,20.3269579151628,159.07207207207207,328.2671232876712,397,-21.62051855309361,169.19505121559914,옥녀봉네거리->도솔네거리
5,RSE1607,RSE7196,127.36794,36.334544,127.3720303,36.33399461,753,781,10.727129834254246,4.042034793750963,107.68658698539176,285.7887323943662,28,-6.685095040503283,178.10214540897445,도솔네거리->안골네거리
6,RSE1513,RSE7359,127.3385757,36.33198127,127.347823,36.33207886,181,296,18.865564164959014,2.5071000374672163,172.55248618784532,1298.4324324324325,115,-16.3584641274918,1125.8799462445872,위더스타워네거리->옥녀봉네거리
7,RSE1512,RSE1513,127.333091,36.332421,127.3385757,36.33198127,126,161,9.524553751526376,0.9597673418290356,175.484126984127,1741.472049689441,35,-8.56478640969734,1565.987922705314,도로교통공단대전충남지부앞->위더스타워네거리
8,RSE7359,RSE1511,127.347823,36.33207886,127.348894,36.33949898,583,1282,27.713743890457177,13.372266402025437,109.98456260720413,227.9407176287052,699,-14.34147748843174,117.95615502150106,옥녀봉네거리->원신흥로입구
9,RSE1511,RSE7359,127.348894,36.33949898,127.347823,36.33207886,483,998,37.93547979501806,17.842027112978244,81.20703933747411,172.66132264529057,515,-20.093452682039818,91.45428330781645,원신흥로입구->옥녀봉네거리
10,RSE1511,RSE1508,127.348894,36.33949898,127.347094,36.341812,511,718,27.216720567935575,3.531182905344855,39.69471624266145,305.94846796657384,207,-23.68553766259072,266.2537517239124,원신흥로입구->원신흥북로종점
11,RSE1508,RSE1511,127.347094,36.341812,127.348894,36.33949898,498,684,23.084279767291417,11.167549497586636,46.59638554216868,96.3187134502924,186,-11.91673026970478,49.722327908123724,원신흥북로종점->원신흥로입구
12,RSE1505,RSE1508,127.3478138,36.34869141,127.347094,36.341812,667,772,30.621391313506827,18.595325209317533,85.40029985007496,140.63082901554404,105,-12.026066104189294,55.23052916546908,도안호반베르디움201동삼거리->원신흥북로종점
13,RSE1508,RSE1505,127.347094,36.341812,127.3478138,36.34869141,521,681,20.059023514397776,5.62358186245828,130.8464491362764,466.7224669603525,160,-14.435441651939495,335.87601782407614,원신흥북로종점->도안호반베르디움201동삼거리
14,RSE1504,RSE1505,127.3405407,36.34835572,127.3478138,36.34869141,121,199,18.69099885106129,0.9830882016213882,136.6694214876033,2598.43216080402,78,-17.707910649439903,2461.7627393164166,진터지하차도->도안호반베르디움201동삼거리
15,RSE1505,RSE8103,127.3478138,36.34869141,127.3482089,36.3520523,627,828,11.125038406067912,8.384550681340066,119.43221690590111,158.46859903381642,201,-2.7404877247278456,39.0363821279153,도안호반베르디움201동삼거리->용반네거리
16,RSE8103,RSE1505,127.3482089,36.3520523,127.3478138,36.34869141,520,667,0.0208145389732965,0.0069002525463345,64.925,195.8455772113943,147,-0.013914286426961998,130.9205772113943,용반네거리->도안호반베르디움201동삼거리
