route_id,origin_RSE_id,destin_RSE_id,lon_origin,lat_origin,lon_destin,lat_destin,movers_2023,movers_2024,avg_speed_2023,avg_speed_2024,avg_time_2023,avg_time_2024,movers_diff,avg_speed_diff,avg_time_diff,direction
0,RSE1515,RSE1517,127.348349,36.325866,127.348261,36.321167,642,1044,25.23938352474619,8.863972438233885,81.59657320872275,232.3390804597701,402,-16.375411086512308,150.74250725104736,옥녀봉삼거리->도안동로입구
1,RSE1517,RSE1515,127.348261,36.321167,127.348349,36.325866,884,1626,27.37218399482288,11.675212699954804,75.23868778280543,176.39483394833948,742,-15.696971294868076,101.15614616553405,도안동로입구->옥녀봉삼거리
2,RSE7359,RSE1515,127.347823,36.33207886,127.348349,36.325866,828,1485,20.85239593031631,13.683186241374942,137.81280193236714,210.0188552188552,657,-7.169209688941367,72.20605328648807,옥녀봉네거리->옥녀봉삼거리
3,RSE1515,RSE7359,127.348349,36.325866,127.347823,36.33207886,1051,2049,39.2750054326745,26.802128636730668,73.16936251189344,107.22010736944851,998,-12.47287679594383,34.050744857555074,옥녀봉삼거리->옥녀봉네거리
4,RSE7359,RSE1607,127.347823,36.33207886,127.36794,36.334544,371,832,20.731210063215325,11.563643657035374,184.266846361186,330.35216346153845,461,-9.167566406179951,146.08531710035246,옥녀봉네거리->도솔네거리
5,RSE1607,RSE7196,127.36794,36.334544,127.3720303,36.33399461,854,1039,12.827462209830683,7.166913189660723,103.05386416861826,184.4475457170356,185,-5.66054902016996,81.39368154841735,도솔네거리->안골네거리
6,RSE1513,RSE7359,127.3385757,36.33198127,127.347823,36.33207886,217,401,17.718286828383395,2.082770369718109,178.56221198156683,1519.0423940149626,184,-15.635516458665286,1340.4801820333957,위더스타워네거리->옥녀봉네거리
7,RSE1512,RSE1513,127.333091,36.332421,127.3385757,36.33198127,157,295,14.292321067663428,1.547378762162048,137.0891719745223,1266.2203389830509,138,-12.74494230550138,1129.1311670085286,도로교통공단대전충남지부앞->위더스타워네거리
8,RSE7359,RSE1511,127.347823,36.33207886,127.348894,36.33949898,678,1337,36.41632454809645,18.95777754029097,89.40855457227138,171.74644727000748,659,-17.45854700780548,82.3378926977361,옥녀봉네거리->원신흥로입구
9,RSE1511,RSE7359,127.348894,36.33949898,127.347823,36.33207886,453,967,43.27865951079926,24.449696519776023,75.23178807947019,133.16856256463288,514,-18.828962991023236,57.93677448516269,원신흥로입구->옥녀봉네거리
10,RSE1511,RSE1508,127.348894,36.33949898,127.347094,36.341812,645,891,28.21478337092485,10.356896624169456,41.01705426356589,111.74074074074076,246,-17.85788674675539,70.72368647717488,원신흥로입구->원신흥북로종점
11,RSE1508,RSE1511,127.347094,36.341812,127.348894,36.33949898,438,634,27.03711530004686,6.169811459330383,42.80365296803653,187.5725552050473,196,-20.867303840716477,144.76890223701076,원신흥북로종점->원신흥로입구
12,RSE1505,RSE1508,127.3478138,36.34869141,127.347094,36.341812,536,839,29.55410001510312,18.571355551514067,91.17350746268656,145.0917759237187,303,-10.982744463589054,53.91826846103214,도안호반베르디움201동삼거리->원신흥북로종점
13,RSE1508,RSE1505,127.347094,36.341812,127.3478138,36.34869141,568,821,20.87631039928845,6.078179416389268,129.07218309859155,443.3154689403167,253,-14.798130982899181,314.24328584172514,원신흥북로종점->도안호반베르디움201동삼거리
14,RSE1504,RSE1505,127.3405407,36.34835572,127.3478138,36.34869141,133,318,15.765199619991774,0.9428041000690176,164.09774436090223,2743.977987421384,185,-14.822395519922758,2579.880243060482,진터지하차도->도안호반베르디움201동삼거리
15,RSE1505,RSE8103,127.3478138,36.34869141,127.3482089,36.3520523,762,894,13.255185560895423,12.434779895407804,120.04199475065616,127.96196868008948,132,-0.8204056654876197,7.919973929433326,도안호반베르디움201동삼거리->용반네거리
16,RSE8103,RSE1505,127.3482089,36.3520523,127.3478138,36.34869141,495,739,23.98762184200991,5.943777199921486,66.33333333333333,267.70500676589984,244,-18.043844642088423,201.37167343256652,용반네거리->도안호반베르디움201동삼거리
17,RSE8102,RSE1501,127.3417161,36.35324983,127.3450559,36.35287005,393,1209,31.988425238237447,5.939246339847428,56.71246819338423,305.44995864350705,816,-26.049178898390018,248.7374904501228,유성네거리->계룡로132번길
18,RSE1501,RSE8103,127.3450559,36.35287005,127.3482089,36.3520523,584,1129,22.06752519293215,2.633713465302097,57.93321917808219,485.414526129318,545,-19.43381172763005,427.4813069512358,계룡로132번길->용반네거리
