route_id,origin_RSE_id,destin_RSE_id,lon_origin,lat_origin,lon_destin,lat_destin,movers_2023,movers_2024,avg_speed_2023,avg_speed_2024,avg_time_2023,avg_time_2024,movers_diff,avg_speed_diff,avg_time_diff,direction
0,RSE1515,RSE1517,127.348349,36.325866,127.348261,36.321167,843,1429,23.67858693744333,8.88558462791371,86.97508896797153,231.7739678096571,586,-14.793002309529621,144.79887884168556,옥녀봉삼거리->도안동로입구
1,RSE1517,RSE1515,127.348261,36.321167,127.348349,36.325866,869,1687,30.20216723364494,13.840734907367048,68.18872266973533,148.7960877296977,818,-16.361432326277892,80.60736505996236,도안동로입구->옥녀봉삼거리
2,RSE7359,RSE1515,127.347823,36.33207886,127.348349,36.325866,1334,2228,19.07790290209781,15.029269063236544,150.6311844077961,191.20870736086172,894,-4.048633838861267,40.577522953065625,옥녀봉네거리->옥녀봉삼거리
3,RSE1515,RSE7359,127.348349,36.325866,127.347823,36.33207886,1090,2048,42.55638271957523,34.75058083979043,67.52752293577981,82.69580078125,958,-7.805801879784802,15.168277845470186,옥녀봉삼거리->옥녀봉네거리
4,RSE7359,RSE1607,127.347823,36.33207886,127.36794,36.334544,430,882,12.657831587923306,12.770987908830245,301.7953488372093,299.12131519274374,452,0.11315632090693839,-2.674033644465567,옥녀봉네거리->도솔네거리
5,RSE1607,RSE7196,127.36794,36.334544,127.3720303,36.33399461,1214,1004,7.841348243500257,4.836020821859527,168.5831960461285,273.3486055776892,-210,-3.0053274216407306,104.76540953156072,도솔네거리->안골네거리
6,RSE1513,RSE7359,127.3385757,36.33198127,127.347823,36.33207886,331,569,21.61942355801323,3.247867181477475,146.3413897280967,974.121265377856,238,-18.371556376535757,827.7798756497593,위더스타워네거리->옥녀봉네거리
7,RSE1512,RSE1513,127.333091,36.332421,127.3385757,36.33198127,246,398,14.728146591302291,1.0109852624501152,133.03252032520325,1938.032663316583,152,-13.717161328852177,1805.0001429913798,도로교통공단대전충남지부앞->위더스타워네거리
8,RSE7359,RSE1511,127.347823,36.33207886,127.348894,36.33949898,722,1461,34.715313060000405,10.908079057659204,93.78947368421052,298.4880219028063,739,-23.8072340023412,204.69854821859576,옥녀봉네거리->원신흥로입구
9,RSE1511,RSE7359,127.348894,36.33949898,127.347823,36.33207886,656,1823,34.57364591094069,12.569112145376856,94.17378048780488,259.0422380691168,1167,-22.004533765563835,164.86845758131193,원신흥로입구->옥녀봉네거리
